Crop,Rainfall,Water Source,Soil Type,Organic,Fertilizers Used,Climate,Season,Labor Availability,Yield
Rice,Abundant,Rain,Clay,No,None,Tropical,Summer,Low,36
Turmeric,Abundant,Other,Clay,Yes,Compost,Tropical,Autumn,High,86
Turmeric,Abundant,Rain,Clay,No,"Urea, Potash",Tropical,Autumn,High,85
Mango,Abundant,Bore,Loamy,No,Urea,Tropical,Summer,Low,64
Barley,Medium,Rain,Loamy,Yes,Potash,Temperate,Spring,High,33
Soybean,Medium,Bore,Loamy,No,Compost,Tropical,Summer,Medium,42
Mango,Abundant,Rain,Sandy,No,None,Tropical,Summer,Low,96
Mango,Abundant,Bore,Sandy,Yes,Potash,Tropical,Summer,Low,58
Grape,Medium,Rain,Sandy,Yes,None,Tropical,Summer,High,46
Millet,Less/No Rain,Bore,Sandy,No,DAP,Dry,Summer,Low,51
Cotton,Abundant,Other,Saline,Yes,None,Tropical,Summer,Medium,39
Mango,Abundant,Rain,Sandy,No,Potash,Tropical,Summer,High,35
Mango,Abundant,Bore,Loamy,No,DAP,Tropical,Spring,Medium,62
Mango,Abundant,Other,Loamy,Yes,DAP,Tropical,Spring,Low,32
Rice,Abundant,Bore,Silt,Yes,None,Tropical,Summer,Low,29
Wheat,Medium,Bore,Sandy,Yes,Urea,Temperate,Spring,Low,92
Maize,Less/No Rain,Rain,Sandy,No,Urea,Dry,Spring,High,98
Cotton,Abundant,Rain,Saline,No,Potash,Tropical,Summer,Medium,38
Mango,Abundant,Bore,Sandy,No,"Urea, Potash",Tropical,Spring,Low,76
Wheat,Medium,Rain,Loamy,No,"Urea, DAP, Potash",Temperate,Spring,Low,91
Turmeric,Abundant,Bore,Clay,No,"Urea, DAP, Potash",Tropical,Summer,Low,98
Mango,Abundant,Bore,Sandy,Yes,"Urea, Potash",Tropical,Spring,Low,79
Maize,Medium,Bore,Sandy,Yes,Compost,Dry,Spring,Medium,73
Millet,Less/No Rain,Rain,Sandy,Yes,"Urea, DAP, Potash",Dry,Summer,Medium,52
Millet,Less/No Rain,Other,Sandy,No,Urea,Dry,Summer,Medium,92
Soybean,Medium,Other,Sandy,No,Compost,Temperate,Summer,Low,59
Rice,Abundant,Bore,Clay,No,"Urea, DAP, Potash",Tropical,Summer,High,29
Mango,Abundant,Bore,Sandy,No,"DAP, Compost",Tropical,Spring,Medium,66
Rice,Abundant,Rain,Clay,No,"Urea, DAP, Potash",Tropical,Summer,High,35
Mango,Abundant,Rain,Loamy,No,"Urea, DAP, Potash",Tropical,Summer,High,39
Wheat,Medium,Bore,Sandy,Yes,"Urea, DAP, Potash",Temperate,Spring,Low,84
Rice,Abundant,Bore,Silt,Yes,Compost,Tropical,Summer,Medium,46
Soybean,Medium,Other,Sandy,No,"Urea, DAP, Potash",Tropical,Summer,High,31
Turmeric,Abundant,Other,Clay,No,Compost,Tropical,Summer,Low,74
Grape,Medium,Other,Sandy,Yes,"Urea, DAP, Potash",Tropical,Summer,Medium,22
Mango,Abundant,Bore,Loamy,No,"Urea, DAP, Potash",Tropical,Summer,Medium,99
Sugarcane,Abundant,Rain,Loamy,No,Potash,Tropical,Summer,High,50
Barley,Medium,Bore,Sandy,No,None,Temperate,Spring,High,36
Mango,Abundant,Bore,Loamy,No,"Urea, DAP, Potash",Tropical,Spring,Low,97
Turmeric,Abundant,Rain,Loamy,No,"DAP, Compost",Tropical,Summer,Medium,80
Maize,Medium,Rain,Sandy,No,"Urea, Potash",Dry,Spring,Low,45
Mango,Abundant,Other,Loamy,No,"Urea, Potash",Tropical,Spring,Low,36
Soybean,Medium,Other,Sandy,Yes,"Urea, DAP, Potash",Temperate,Summer,Low,50
Maize,Less/No Rain,Bore,Sandy,Yes,Potash,Temperate,Summer,Low,76
Millet,Less/No Rain,Other,Loamy,No,Compost,Dry,Summer,High,23
Maize,Medium,Bore,Sandy,Yes,Potash,Temperate,Summer,Low,82
Grape,Medium,Rain,Sandy,No,"Urea, Potash",Temperate,Spring,Low,38
Mango,Abundant,Bore,Loamy,No,Compost,Tropical,Spring,Low,26
Rice,Abundant,Rain,Silt,Yes,"Urea, Potash",Tropical,Summer,High,74
Soybean,Medium,Rain,Loamy,No,Potash,Temperate,Spring,High,51
Barley,Medium,Rain,Loamy,No,"Urea, DAP, Potash",Temperate,Spring,Low,54
Grape,Medium,Other,Loamy,No,None,Temperate,Spring,Medium,82
Wheat,Medium,Other,Loamy,Yes,"Urea, Potash",Temperate,Spring,Medium,52
Cotton,Abundant,Bore,Sandy,Yes,DAP,Dry,Summer,Medium,37
Rice,Abundant,Bore,Clay,Yes,None,Tropical,Summer,Low,64
Mango,Abundant,Bore,Sandy,Yes,None,Tropical,Spring,Medium,20
Barley,Medium,Bore,Loamy,Yes,None,Temperate,Spring,Low,81
Maize,Less/No Rain,Other,Sandy,No,Urea,Temperate,Spring,Medium,51
Barley,Medium,Bore,Loamy,No,"Urea, DAP, Potash",Temperate,Spring,Low,35
Mango,Abundant,Rain,Loamy,No,None,Tropical,Summer,Medium,39
Rice,Abundant,Other,Silt,No,"Urea, Potash",Tropical,Summer,Low,58
Soybean,Medium,Rain,Sandy,No,None,Tropical,Summer,High,86
Barley,Medium,Rain,Sandy,Yes,Potash,Temperate,Spring,Low,68
Barley,Medium,Rain,Loamy,Yes,DAP,Temperate,Spring,Low,68
Sugarcane,Abundant,Other,Loamy,No,Potash,Tropical,Summer,High,46
Mango,Abundant,Other,Loamy,Yes,Urea,Tropical,Spring,Low,80
Millet,Less/No Rain,Rain,Sandy,No,"Urea, DAP, Potash",Dry,Summer,High,22
Soybean,Medium,Other,Sandy,Yes,"Urea, Potash",Temperate,Spring,Low,44
Wheat,Medium,Bore,Sandy,Yes,"Urea, Potash",Temperate,Autumn,Medium,92
Mango,Abundant,Other,Sandy,Yes,"DAP, Compost",Tropical,Summer,Medium,74
Barley,Medium,Other,Loamy,No,"Urea, DAP, Potash",Temperate,Spring,High,77
Sugarcane,Abundant,Bore,Clay,No,"DAP, Compost",Tropical,Spring,Medium,46
Barley,Medium,Rain,Sandy,Yes,Urea,Temperate,Spring,High,99
Turmeric,Abundant,Other,Loamy,No,DAP,Tropical,Summer,Low,59
Maize,Medium,Rain,Sandy,Yes,Compost,Dry,Spring,High,62
Millet,Less/No Rain,Rain,Sandy,No,"DAP, Compost",Dry,Summer,Medium,66
Soybean,Medium,Rain,Sandy,Yes,"Urea, DAP, Potash",Tropical,Summer,Low,87
Wheat,Medium,Rain,Loamy,Yes,"DAP, Compost",Temperate,Autumn,Low,25
Rice,Abundant,Other,Clay,No,DAP,Tropical,Summer,Medium,50
Soybean,Medium,Bore,Sandy,No,Urea,Temperate,Spring,Low,80
Mango,Abundant,Bore,Loamy,Yes,None,Tropical,Spring,Low,33
Sugarcane,Abundant,Other,Loamy,Yes,DAP,Tropical,Summer,Low,80
Wheat,Medium,Rain,Loamy,No,"DAP, Compost",Temperate,Autumn,Low,83
Rice,Abundant,Bore,Silt,Yes,"Urea, DAP, Potash",Tropical,Summer,Low,54
Turmeric,Abundant,Other,Loamy,No,"Urea, DAP, Potash",Tropical,Autumn,High,68
Mango,Abundant,Bore,Loamy,Yes,None,Tropical,Summer,High,40
Rice,Abundant,Bore,Silt,Yes,Potash,Tropical,Summer,High,92
Sugarcane,Abundant,Other,Loamy,Yes,Urea,Tropical,Spring,Medium,71
Rice,Abundant,Bore,Clay,No,DAP,Tropical,Summer,High,38
Wheat,Medium,Other,Loamy,No,Potash,Temperate,Autumn,Low,87
Millet,Less/No Rain,Rain,Loamy,No,"DAP, Compost",Dry,Summer,High,66
Wheat,Medium,Bore,Loamy,Yes,"Urea, DAP, Potash",Temperate,Autumn,Medium,34
Barley,Medium,Bore,Sandy,Yes,Compost,Temperate,Spring,High,77
Turmeric,Abundant,Rain,Clay,No,Compost,Tropical,Summer,High,55
Mango,Abundant,Other,Sandy,Yes,DAP,Tropical,Summer,Low,90
Wheat,Medium,Other,Sandy,Yes,"Urea, DAP, Potash",Temperate,Spring,Medium,70
Turmeric,Abundant,Rain,Loamy,Yes,"Urea, Potash",Tropical,Summer,High,72
Grape,Medium,Other,Sandy,No,None,Tropical,Summer,Low,34
Wheat,Medium,Bore,Loamy,No,Urea,Temperate,Autumn,Low,61
Wheat,Medium,Rain,Sandy,Yes,"Urea, DAP, Potash",Temperate,Spring,High,69
Sugarcane,Abundant,Rain,Clay,No,"Urea, DAP, Potash",Tropical,Summer,Low,94
Wheat,Medium,Other,Sandy,Yes,Potash,Temperate,Spring,Low,51
Maize,Less/No Rain,Other,Sandy,No,"DAP, Compost",Dry,Summer,High,82
Mango,Abundant,Bore,Loamy,No,"Urea, Potash",Tropical,Summer,Low,42
Rice,Abundant,Bore,Clay,Yes,Potash,Tropical,Summer,High,35
Sugarcane,Abundant,Rain,Clay,No,DAP,Tropical,Spring,Medium,55
Rice,Abundant,Other,Silt,No,"Urea, Potash",Tropical,Summer,Medium,37
Millet,Less/No Rain,Bore,Loamy,No,DAP,Dry,Summer,Low,58
Turmeric,Abundant,Other,Clay,No,Compost,Tropical,Summer,Low,94
Maize,Less/No Rain,Rain,Loamy,Yes,Compost,Temperate,Spring,Low,67
Barley,Medium,Bore,Sandy,No,"Urea, Potash",Temperate,Spring,High,35
Mango,Abundant,Rain,Loamy,No,"DAP, Compost",Tropical,Summer,Medium,79
Barley,Medium,Rain,Sandy,No,None,Temperate,Spring,Low,98
Maize,Medium,Other,Loamy,Yes,"Urea, Potash",Dry,Spring,High,76
Rice,Abundant,Other,Silt,Yes,None,Tropical,Summer,High,45
Wheat,Medium,Rain,Loamy,Yes,"Urea, DAP, Potash",Temperate,Autumn,Medium,32
Millet,Less/No Rain,Other,Loamy,No,None,Dry,Summer,Low,39
Cotton,Abundant,Other,Saline,Yes,"Urea, Potash",Tropical,Summer,High,79
Cotton,Abundant,Other,Sandy,No,"Urea, Potash",Tropical,Summer,Low,42
Turmeric,Abundant,Bore,Clay,No,Urea,Tropical,Summer,Low,61
Barley,Medium,Other,Sandy,Yes,Potash,Temperate,Spring,High,27
Barley,Medium,Other,Sandy,Yes,Potash,Temperate,Spring,Low,38
Turmeric,Abundant,Other,Loamy,No,"Urea, Potash",Tropical,Autumn,High,63
Maize,Medium,Bore,Sandy,No,"Urea, Potash",Temperate,Summer,High,47
Mango,Abundant,Bore,Sandy,Yes,Compost,Tropical,Spring,Medium,23
Barley,Medium,Rain,Loamy,No,Potash,Temperate,Spring,Low,81
Rice,Abundant,Rain,Silt,No,None,Tropical,Summer,Low,70
Sugarcane,Abundant,Other,Clay,Yes,Compost,Tropical,Spring,Low,87
Turmeric,Abundant,Other,Loamy,No,Compost,Tropical,Summer,High,99
Rice,Abundant,Rain,Silt,No,"Urea, DAP, Potash",Tropical,Summer,Low,36
Mango,Abundant,Rain,Loamy,Yes,"DAP, Compost",Tropical,Spring,High,74
Rice,Abundant,Bore,Silt,Yes,Urea,Tropical,Summer,Medium,93
Maize,Less/No Rain,Other,Loamy,No,None,Dry,Summer,Medium,21
Turmeric,Abundant,Bore,Loamy,Yes,Urea,Tropical,Autumn,High,40
Cotton,Abundant,Other,Saline,Yes,Compost,Dry,Summer,Medium,47
Mango,Abundant,Bore,Loamy,Yes,"DAP, Compost",Tropical,Spring,Medium,24
Soybean,Medium,Rain,Sandy,Yes,Compost,Tropical,Spring,Low,99
Maize,Medium,Bore,Loamy,No,DAP,Dry,Spring,Low,71
Soybean,Medium,Other,Sandy,Yes,"DAP, Compost",Tropical,Spring,Low,42
Barley,Medium,Bore,Sandy,Yes,"DAP, Compost",Temperate,Spring,Low,65
Soybean,Medium,Other,Loamy,Yes,"Urea, Potash",Temperate,Summer,Medium,59
Maize,Less/No Rain,Rain,Loamy,Yes,Urea,Temperate,Summer,Low,20
Grape,Medium,Rain,Loamy,Yes,DAP,Temperate,Summer,Medium,41
Turmeric,Abundant,Other,Loamy,No,Potash,Tropical,Autumn,Low,42
Soybean,Medium,Bore,Sandy,No,"Urea, Potash",Temperate,Summer,Medium,37
Grape,Medium,Other,Loamy,No,Urea,Tropical,Summer,Medium,25
Grape,Medium,Other,Sandy,Yes,None,Temperate,Spring,High,69
Millet,Less/No Rain,Other,Loamy,No,None,Dry,Summer,Medium,80
Barley,Medium,Bore,Sandy,Yes,Potash,Temperate,Spring,Medium,84
Mango,Abundant,Bore,Sandy,No,"DAP, Compost",Tropical,Summer,Low,26
Millet,Less/No Rain,Other,Loamy,Yes,Urea,Dry,Summer,Medium,97
Soybean,Medium,Other,Loamy,Yes,Potash,Tropical,Spring,Low,84
Grape,Medium,Bore,Loamy,Yes,"DAP, Compost",Tropical,Summer,Medium,29
Maize,Medium,Rain,Sandy,No,None,Dry,Spring,High,74
Sugarcane,Abundant,Rain,Loamy,Yes,DAP,Tropical,Summer,Low,60
Maize,Less/No Rain,Other,Loamy,Yes,Compost,Temperate,Spring,Medium,41
Grape,Medium,Bore,Sandy,No,Urea,Tropical,Summer,High,56
Wheat,Medium,Bore,Loamy,Yes,"Urea, Potash",Temperate,Autumn,High,51
Sugarcane,Abundant,Other,Clay,No,"Urea, Potash",Tropical,Summer,Low,85
Turmeric,Abundant,Bore,Clay,No,Urea,Tropical,Autumn,High,50
Millet,Less/No Rain,Bore,Sandy,Yes,Urea,Dry,Summer,Low,73
Millet,Less/No Rain,Bore,Sandy,No,Potash,Dry,Summer,Medium,45
Soybean,Medium,Bore,Sandy,Yes,None,Tropical,Spring,Medium,97
Mango,Abundant,Rain,Sandy,No,"Urea, Potash",Tropical,Spring,High,64
Soybean,Medium,Other,Loamy,Yes,"Urea, DAP, Potash",Tropical,Spring,Low,79
Sugarcane,Abundant,Other,Loamy,Yes,"DAP, Compost",Tropical,Summer,Low,36
Millet,Less/No Rain,Other,Sandy,Yes,Urea,Dry,Summer,Low,64
Turmeric,Abundant,Bore,Loamy,No,Compost,Tropical,Autumn,Low,52
Sugarcane,Abundant,Bore,Loamy,Yes,"Urea, Potash",Tropical,Summer,Low,56
Cotton,Abundant,Other,Sandy,No,Compost,Tropical,Summer,Low,52
Rice,Abundant,Other,Silt,Yes,"Urea, Potash",Tropical,Summer,Low,27
Cotton,Abundant,Bore,Saline,No,"Urea, Potash",Dry,Summer,Medium,49
Wheat,Medium,Rain,Sandy,No,None,Temperate,Spring,High,30
Sugarcane,Abundant,Rain,Loamy,Yes,Urea,Tropical,Summer,Medium,92
Mango,Abundant,Rain,Sandy,No,"Urea, DAP, Potash",Tropical,Spring,High,71
Barley,Medium,Bore,Loamy,No,Potash,Temperate,Spring,High,53
Maize,Medium,Rain,Sandy,No,"Urea, DAP, Potash",Dry,Spring,High,35
Millet,Less/No Rain,Bore,Loamy,Yes,Potash,Dry,Summer,Medium,99
Rice,Abundant,Rain,Silt,Yes,DAP,Tropical,Summer,Medium,57
Grape,Medium,Rain,Sandy,No,Urea,Tropical,Spring,High,97
Sugarcane,Abundant,Other,Loamy,No,"DAP, Compost",Tropical,Spring,Low,41
Barley,Medium,Bore,Sandy,Yes,Potash,Temperate,Spring,Medium,67
Millet,Less/No Rain,Rain,Loamy,No,Compost,Dry,Summer,Medium,22
Turmeric,Abundant,Bore,Loamy,No,Urea,Tropical,Summer,Medium,42
Maize,Less/No Rain,Bore,Loamy,No,None,Dry,Spring,Low,36
Maize,Less/No Rain,Bore,Loamy,Yes,"Urea, Potash",Dry,Summer,High,33
Grape,Medium,Bore,Sandy,Yes,DAP,Temperate,Spring,Low,21
Rice,Abundant,Bore,Clay,Yes,"DAP, Compost",Tropical,Summer,Low,68
Cotton,Abundant,Rain,Saline,Yes,Urea,Dry,Summer,Low,96
Rice,Abundant,Bore,Silt,Yes,Compost,Tropical,Summer,Medium,26
Rice,Abundant,Rain,Silt,Yes,Urea,Tropical,Summer,Low,75
Sugarcane,Abundant,Bore,Clay,No,Urea,Tropical,Spring,Low,67
Soybean,Medium,Bore,Loamy,Yes,Urea,Temperate,Spring,Medium,42
Mango,Abundant,Rain,Loamy,Yes,None,Tropical,Summer,Low,83
Barley,Medium,Rain,Loamy,No,DAP,Temperate,Spring,Medium,38
Mango,Abundant,Rain,Loamy,Yes,DAP,Tropical,Spring,Medium,48
Turmeric,Abundant,Rain,Loamy,Yes,"Urea, DAP, Potash",Tropical,Summer,High,31
Wheat,Medium,Rain,Sandy,Yes,"Urea, Potash",Temperate,Spring,Medium,49
Grape,Medium,Bore,Loamy,No,"Urea, Potash",Temperate,Spring,Medium,57
Rice,Abundant,Other,Silt,Yes,Compost,Tropical,Summer,High,50
Sugarcane,Abundant,Bore,Loamy,Yes,"Urea, DAP, Potash",Tropical,Summer,Medium,55
Mango,Abundant,Rain,Sandy,No,"Urea, Potash",Tropical,Spring,Low,45
Grape,Medium,Other,Loamy,No,None,Tropical,Summer,Medium,82
Millet,Less/No Rain,Bore,Loamy,Yes,"Urea, Potash",Dry,Summer,Medium,84
Mango,Abundant,Bore,Loamy,No,DAP,Tropical,Spring,Medium,35
Barley,Medium,Other,Sandy,No,Compost,Temperate,Spring,Low,91
Rice,Abundant,Other,Clay,No,Potash,Tropical,Summer,High,57
Wheat,Medium,Bore,Loamy,No,Potash,Temperate,Autumn,Low,70
Sugarcane,Abundant,Other,Loamy,Yes,Potash,Tropical,Spring,Medium,81
Maize,Less/No Rain,Bore,Sandy,No,"Urea, DAP, Potash",Temperate,Spring,High,20
Soybean,Medium,Bore,Loamy,No,"Urea, Potash",Tropical,Spring,Medium,45
Grape,Medium,Other,Loamy,No,"DAP, Compost",Temperate,Summer,Low,23
Soybean,Medium,Bore,Sandy,No,Compost,Tropical,Summer,High,92
Turmeric,Abundant,Bore,Loamy,Yes,Potash,Tropical,Autumn,High,81
Sugarcane,Abundant,Bore,Clay,No,Compost,Tropical,Summer,Low,61
Soybean,Medium,Other,Loamy,Yes,None,Tropical,Spring,Medium,64
Turmeric,Abundant,Other,Loamy,No,Potash,Tropical,Autumn,Low,60
Rice,Abundant,Rain,Silt,No,None,Tropical,Summer,High,36
Maize,Medium,Other,Loamy,Yes,Potash,Temperate,Spring,Medium,52
Cotton,Abundant,Other,Sandy,Yes,Urea,Dry,Summer,Low,31
Sugarcane,Abundant,Other,Loamy,No,Compost,Tropical,Spring,Low,50
Sugarcane,Abundant,Other,Clay,Yes,"Urea, Potash",Tropical,Summer,Medium,31
Soybean,Medium,Bore,Sandy,Yes,"Urea, DAP, Potash",Tropical,Spring,Low,77
Sugarcane,Abundant,Other,Clay,Yes,"DAP, Compost",Tropical,Spring,Low,49
Grape,Medium,Rain,Loamy,Yes,"DAP, Compost",Temperate,Summer,High,71
Sugarcane,Abundant,Bore,Clay,No,Compost,Tropical,Summer,Medium,75
Mango,Abundant,Rain,Loamy,No,"Urea, DAP, Potash",Tropical,Spring,High,34
Maize,Less/No Rain,Rain,Sandy,Yes,None,Dry,Summer,Low,48
Millet,Less/No Rain,Other,Sandy,Yes,"Urea, Potash",Dry,Summer,Low,32
Barley,Medium,Other,Loamy,Yes,DAP,Temperate,Spring,Low,62
Rice,Abundant,Rain,Clay,Yes,"Urea, Potash",Tropical,Summer,High,34
Millet,Less/No Rain,Bore,Sandy,Yes,Urea,Dry,Summer,Medium,95
Wheat,Medium,Bore,Sandy,Yes,"DAP, Compost",Temperate,Spring,High,60
Turmeric,Abundant,Rain,Loamy,No,"Urea, DAP, Potash",Tropical,Summer,High,48
Mango,Abundant,Other,Loamy,No,"Urea, Potash",Tropical,Spring,Low,95
Wheat,Medium,Other,Sandy,Yes,Urea,Temperate,Spring,Low,69
Soybean,Medium,Other,Sandy,Yes,Potash,Tropical,Spring,High,59
Sugarcane,Abundant,Bore,Loamy,No,"Urea, DAP, Potash",Tropical,Summer,Low,51
Turmeric,Abundant,Other,Loamy,No,"Urea, DAP, Potash",Tropical,Autumn,Low,42
Barley,Medium,Bore,Loamy,No,"Urea, DAP, Potash",Temperate,Spring,Low,49
Barley,Medium,Other,Sandy,Yes,"Urea, DAP, Potash",Temperate,Spring,Low,91
Turmeric,Abundant,Rain,Clay,No,None,Tropical,Summer,Medium,31
Grape,Medium,Other,Sandy,No,"DAP, Compost",Tropical,Summer,Medium,76
Soybean,Medium,Other,Sandy,No,DAP,Temperate,Summer,Medium,77
Sugarcane,Abundant,Bore,Clay,No,"DAP, Compost",Tropical,Spring,High,53
Maize,Medium,Rain,Sandy,Yes,"DAP, Compost",Temperate,Summer,Low,28
Turmeric,Abundant,Other,Loamy,No,DAP,Tropical,Summer,Medium,67
Maize,Medium,Bore,Sandy,Yes,Urea,Dry,Summer,High,42
Millet,Less/No Rain,Other,Loamy,Yes,"Urea, DAP, Potash",Dry,Summer,High,73
Barley,Medium,Rain,Loamy,Yes,"Urea, Potash",Temperate,Spring,Medium,85
Mango,Abundant,Rain,Loamy,Yes,Urea,Tropical,Spring,Low,46
Soybean,Medium,Bore,Loamy,Yes,DAP,Temperate,Spring,Medium,82
Sugarcane,Abundant,Bore,Loamy,Yes,DAP,Tropical,Summer,Medium,24
Millet,Less/No Rain,Bore,Sandy,No,Potash,Dry,Summer,Medium,28
Rice,Abundant,Rain,Silt,No,"Urea, Potash",Tropical,Summer,Medium,39
Grape,Medium,Bore,Sandy,Yes,"Urea, Potash",Temperate,Spring,Medium,38
Soybean,Medium,Rain,Loamy,Yes,"Urea, Potash",Tropical,Summer,High,58
Grape,Medium,Bore,Sandy,No,Potash,Temperate,Summer,Low,86
Maize,Medium,Other,Loamy,Yes,"DAP, Compost",Temperate,Summer,Medium,34
Wheat,Medium,Bore,Sandy,Yes,Compost,Temperate,Autumn,High,88
Barley,Medium,Other,Loamy,No,Compost,Temperate,Spring,High,81
Mango,Abundant,Other,Sandy,Yes,"Urea, Potash",Tropical,Summer,Medium,73
Mango,Abundant,Bore,Sandy,Yes,"Urea, DAP, Potash",Tropical,Summer,High,32
Soybean,Medium,Other,Sandy,No,"Urea, DAP, Potash",Temperate,Spring,High,90
Soybean,Medium,Other,Sandy,No,None,Tropical,Spring,Medium,23
Grape,Medium,Other,Loamy,No,None,Temperate,Spring,Medium,54
Cotton,Abundant,Rain,Sandy,No,Urea,Dry,Summer,Low,58
Grape,Medium,Other,Loamy,No,"Urea, Potash",Temperate,Spring,High,92
Wheat,Medium,Bore,Loamy,No,Urea,Temperate,Spring,High,43
Maize,Less/No Rain,Bore,Sandy,No,"DAP, Compost",Temperate,Spring,High,25
Soybean,Medium,Other,Sandy,No,"Urea, Potash",Tropical,Spring,Low,95
Cotton,Abundant,Rain,Sandy,Yes,Potash,Tropical,Summer,Low,85
Mango,Abundant,Rain,Loamy,Yes,DAP,Tropical,Spring,Medium,25
Soybean,Medium,Bore,Loamy,Yes,Urea,Temperate,Spring,High,64
Wheat,Medium,Bore,Sandy,Yes,DAP,Temperate,Spring,Medium,81
Rice,Abundant,Other,Silt,Yes,"DAP, Compost",Tropical,Summer,High,90
Grape,Medium,Rain,Sandy,No,Urea,Temperate,Summer,High,62
Cotton,Abundant,Other,Sandy,Yes,Urea,Dry,Summer,High,54
Sugarcane,Abundant,Rain,Clay,No,"DAP, Compost",Tropical,Summer,Medium,30
Cotton,Abundant,Rain,Sandy,Yes,"Urea, DAP, Potash",Dry,Summer,Low,46
Rice,Abundant,Other,Clay,Yes,"DAP, Compost",Tropical,Summer,High,94
Grape,Medium,Other,Loamy,Yes,Compost,Temperate,Summer,Low,68
Cotton,Abundant,Other,Saline,No,Potash,Dry,Summer,Medium,73
Barley,Medium,Rain,Sandy,No,Urea,Temperate,Spring,High,87
Cotton,Abundant,Bore,Sandy,Yes,None,Tropical,Summer,High,27
Grape,Medium,Bore,Sandy,Yes,DAP,Temperate,Spring,Low,36
Millet,Less/No Rain,Rain,Sandy,No,"Urea, DAP, Potash",Dry,Summer,Medium,48
Rice,Abundant,Rain,Silt,No,"Urea, Potash",Tropical,Summer,Low,76
Sugarcane,Abundant,Bore,Loamy,No,Urea,Tropical,Summer,High,84
Grape,Medium,Bore,Loamy,Yes,"Urea, Potash",Temperate,Summer,High,45
Wheat,Medium,Other,Loamy,Yes,Potash,Temperate,Autumn,High,90
Maize,Less/No Rain,Bore,Sandy,No,DAP,Temperate,Spring,High,30
Soybean,Medium,Other,Sandy,Yes,"Urea, Potash",Tropical,Summer,Low,80
Mango,Abundant,Other,Loamy,Yes,"Urea, DAP, Potash",Tropical,Spring,Low,30
Sugarcane,Abundant,Rain,Clay,Yes,"Urea, DAP, Potash",Tropical,Summer,Low,66
Grape,Medium,Other,Loamy,Yes,None,Tropical,Spring,Low,98
Soybean,Medium,Rain,Loamy,Yes,"Urea, DAP, Potash",Temperate,Spring,Medium,81
Turmeric,Abundant,Rain,Loamy,Yes,Potash,Tropical,Summer,Medium,49
Soybean,Medium,Other,Loamy,Yes,"Urea, DAP, Potash",Tropical,Summer,Medium,42
Wheat,Medium,Other,Sandy,No,Compost,Temperate,Spring,Medium,37
Mango,Abundant,Other,Sandy,Yes,Potash,Tropical,Spring,Medium,48
Soybean,Medium,Rain,Sandy,Yes,Urea,Temperate,Summer,Low,65
Maize,Medium,Other,Loamy,Yes,Urea,Dry,Spring,High,66
Sugarcane,Abundant,Bore,Clay,No,DAP,Tropical,Spring,High,35
Cotton,Abundant,Bore,Sandy,No,Potash,Tropical,Summer,Medium,46
Rice,Abundant,Bore,Clay,No,"Urea, DAP, Potash",Tropical,Summer,Medium,54
Barley,Medium,Rain,Loamy,Yes,"Urea, DAP, Potash",Temperate,Spring,Low,35
Millet,Less/No Rain,Rain,Loamy,Yes,DAP,Dry,Summer,Low,29
Wheat,Medium,Other,Loamy,Yes,"Urea, Potash",Temperate,Autumn,Low,23
Grape,Medium,Bore,Sandy,No,"Urea, Potash",Temperate,Summer,Medium,61
Sugarcane,Abundant,Other,Loamy,Yes,Urea,Tropical,Spring,Low,46
Rice,Abundant,Bore,Clay,Yes,Urea,Tropical,Summer,Low,33
Wheat,Medium,Rain,Sandy,Yes,None,Temperate,Spring,Medium,79
Rice,Abundant,Other,Clay,Yes,Compost,Tropical,Summer,High,91
Rice,Abundant,Rain,Clay,Yes,"Urea, DAP, Potash",Tropical,Summer,Medium,98
Rice,Abundant,Other,Clay,Yes,"DAP, Compost",Tropical,Summer,Low,41
Grape,Medium,Bore,Sandy,No,Compost,Tropical,Spring,Medium,86
Wheat,Medium,Bore,Sandy,No,None,Temperate,Spring,Medium,74
Barley,Medium,Rain,Sandy,Yes,DAP,Temperate,Spring,High,24
Soybean,Medium,Rain,Sandy,Yes,"DAP, Compost",Temperate,Summer,Medium,70
Turmeric,Abundant,Bore,Clay,Yes,Compost,Tropical,Summer,Low,96
Turmeric,Abundant,Other,Loamy,Yes,"DAP, Compost",Tropical,Summer,Low,85
Sugarcane,Abundant,Rain,Loamy,Yes,Compost,Tropical,Summer,Medium,97
Soybean,Medium,Rain,Loamy,Yes,DAP,Tropical,Summer,Low,34
Barley,Medium,Bore,Loamy,Yes,Compost,Temperate,Spring,Low,93
Turmeric,Abundant,Bore,Loamy,Yes,"Urea, DAP, Potash",Tropical,Summer,High,23
Turmeric,Abundant,Rain,Clay,Yes,None,Tropical,Summer,Medium,82
Soybean,Medium,Other,Loamy,No,"DAP, Compost",Temperate,Summer,Medium,83
Maize,Less/No Rain,Rain,Loamy,Yes,DAP,Dry,Spring,High,41
Wheat,Medium,Bore,Sandy,No,"Urea, DAP, Potash",Temperate,Autumn,Low,50
Wheat,Medium,Rain,Sandy,Yes,None,Temperate,Spring,Medium,43
Turmeric,Abundant,Bore,Clay,Yes,Potash,Tropical,Autumn,High,82
Sugarcane,Abundant,Rain,Loamy,No,Urea,Tropical,Spring,Low,74
Barley,Medium,Bore,Loamy,No,DAP,Temperate,Spring,Medium,74
Soybean,Medium,Bore,Loamy,Yes,Compost,Tropical,Spring,Low,55
